Format, Traqmate Trackvision, V2
Track, Portland
Vehicle, CORRADO
Driver, DJ
Starting Date, 18/08/2019
Starting Time, 16:45:16.000
Sample Rate (samps/sec), 40
Duration (secs),   2449.500
Analogs, Point Name, Units, Low Value, High Value, AlarmValue
A0 Disabled
A1 Disabled
A2 Disabled
A3 Disabled
Digitals, Point Name, On Name, OffName
D4
D5
GPS Reading, GPS Time, GPS Weeks, Elapsed Time, Lat (Degrees), Lon (Degrees), Lat (feet), Lon (feet), Altitude (feet), Temperature (degrees F), EastVel, NorthVel, VertVel, Velocity (MPH), Heading(Deg), XGs, YGs, RPMs, D4, D5, A0, A1, A2, A3, Gear, Brake (calc), Accel (calc), Lap
0,79202250,2067,886.425000,45.594069,-122.691231,-818.365592,742.836976,6,-10.000000,-38.000000,15.000000,0.000000,94.574291,157.402957,-0.175627,0.018051,5383,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202250,2067,886.450000,45.594073,-122.691243,-817.035824,739.634347,6,-10.000000,-38.000000,15.000000,0.000000,94.670597,157.402957,-0.105735,-0.024904,5395,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202250,2067,886.475000,45.594077,-122.691256,-815.708230,736.426995,6,-10.000000,-38.000000,15.000000,0.000000,94.728577,157.402957,-0.105735,-0.024904,5395,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
1,79202500,2067,886.500000,45.594080,-122.691269,-814.264970,732.959560,6,-9.000000,-39.000000,16.000000,0.000000,94.786557,157.098926,-0.086022,0.000000,5400,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202500,2067,886.525000,45.594084,-122.691282,-812.912507,729.757999,6,-9.000000,-39.000000,16.000000,0.000000,94.833727,157.098926,-0.163082,0.081227,5406,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202500,2067,886.550000,45.594088,-122.691294,-811.553355,726.557393,6,-9.000000,-39.000000,16.000000,0.000000,94.923154,157.098926,-0.136201,0.032491,5412,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202500,2067,886.575000,45.594092,-122.691307,-810.198042,723.351599,6,-9.000000,-39.000000,16.000000,0.000000,94.997839,157.098926,-0.111111,0.005415,5417,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202500,2067,886.600000,45.594095,-122.691320,-808.844273,720.142180,6,-9.000000,-39.000000,16.000000,0.000000,95.058768,157.098926,-0.207885,0.032491,5423,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202500,2067,886.625000,45.594099,-122.691332,-807.487729,716.931508,6,-9.000000,-39.000000,16.000000,0.000000,95.172762,157.098926,-0.100358,0.037906,5423,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
0,79202500,2067,886.650000,45.594103,-122.691345,-806.129764,713.716899,6,-9.000000,-39.000000,16.000000,0.000000,95.227794,157.098926,-0.175627,0.039711,5429,0,0,0.000000,0.000000,0.000000,0.000000,4,0,1,
